,Canción,Artista,Lanzamiento,Género,Emoción inicial,Conocimiento,Familia,Emoción primaria,Emoción secundaria,Emoción Terciaria,Agrado,Escuela,Academia,Sexo,Edad,Español,Inglés,Francés,Catalán
1,21st Century,Bad Religion,1990,Rock,Tedio,TRUE,Malestar (Problemas; miseria; estado o condición incómoda),Enérgico,Intenso,Tenso,79,Escuela privada,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Intermedio,Básico,Nulo
2,21st Century,Bad Religion,1990,Rock,Aprobación,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Trascendente,Fascinante,Aliviador,90,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
3,21st Century,Bad Religion,1990,Rock,Éxtasis,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Triunfante,Alegría,Animado,49,N/R,N/R,Femenino,N/R,N/R,N/R,N/R,N/R
4,21st Century,Bad Religion,1990,Rock,Distracción,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Intenso,,35,Escuela pública,No aplica,No binario,24-26,Avanzado,Intermedio,Básico,Nulo
5,21st Century,Bad Religion,1990,Rock,Interés,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Intenso,Enérgico,Triunfante,50,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Nulo,Nulo
6,21st Century,Bad Religion,1990,Rock,Serenidad,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Intenso,Resiliente,100,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Intermedio,Nulo,Nulo
7,21st Century,Bad Religion,1990,Rock,Sorpresa,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Triunfante,Animado,57,Escuela pública,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Intermedio,Nulo,Nulo
8,21st Century,Bad Religion,1990,Rock,Sorpresa,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Triunfante,Animado,57,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
9,21st Century,Bad Religion,1990,Rock,Serenidad,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Triunfante,Animado,94,Escuela privada,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Avanzado,Nulo,Nulo
10,21st Century,Bad Religion,1990,Rock,Alegría,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,Intenso,Enérgico,62,Escuela privada,Negocios,Femenino,21-23,Avanzado,Avanzado,Básico,Nulo
11,21st Century,Bad Religion,1990,Rock,Serenidad,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Agitado,Tenso,,83,Escuela privada,Ciencias naturales y aplicadas,No binario,21-23,Avanzado,Intermedio,Básico,Nulo
12,21st Century,Bad Religion,1990,Rock,Sorpresa,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Fascinante,Asombroso,Cautivador,79,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Nulo,Nulo
13,21st Century,Bad Religion,1990,Rock,Alegría,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Asombroso,Fascinante,Asombroso,100,Escuela privada,No aplica,Masculino,24-26,Intermedio,Intermedio,Básico,Nulo
14,21st Century,Bad Religion,1990,Rock,Confianza,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Fascinante,Asombroso,Trascendente,66,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Básico,Nulo
15,21st Century,Bad Religion,1990,Rock,Confianza,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Intenso,,,75,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Avanzado,Avanzado,Básico,Básico
16,21st Century,Bad Religion,1990,Rock,Serenidad,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Agitado,Tenso,Agitado,0,Escuela privada,Ciencias naturales y aplicadas,No binario,21-23,Avanzado,Intermedio,Nulo,Nulo
17,A Horse with No Name,"America, George Martin",1971,Folk Rock,Confianza,TRUE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Sereno,Nostálgico,Sereno,81,Escuela privada,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Intermedio,Básico,Nulo
18,A Horse with No Name,"America, George Martin",1971,Folk Rock,Aprobación,TRUE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Sereno,Aliviador,Agradable,100,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
19,A Horse with No Name,"America, George Martin",1971,Folk Rock,Éxtasis,TRUE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Cautivador,Trascendente,Aliviador,100,N/R,N/R,Femenino,N/R,N/R,N/R,N/R,N/R
20,A Horse with No Name,"America, George Martin",1971,Folk Rock,Distracción,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Alegría,Animado,,30,Escuela pública,No aplica,No binario,24-26,Avanzado,Intermedio,Básico,Nulo
21,A Horse with No Name,"America, George Martin",1971,Folk Rock,Interés,TRUE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Cautivador,Sereno,Nostálgico,100,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Nulo,Nulo
22,A Horse with No Name,"America, George Martin",1971,Folk Rock,Alegría,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Calmado,Sereno,Aliviador,80,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Intermedio,Nulo,Nulo
